nomattribuant;idattribuant;annee;dateconvention;referencedecision;nombeneficiaire;idbeneficiaire;rnabeneficiaire;categorietiers;objet;montant;nature;naturecomptable;conditionsversement;datesperiodeversement;idrae;notificationue;pourcentagesubvention;dispositifaide;gid
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE ET CULTURELLE FRANCOISE HERITIER;;;50-Personnes morales de droits privé autres qu'organismes sociaux;7° TSCO ASS SPORTIVE ET CULTURELLE  FRANCOISE HERITIER.   Projet : Danse LADC n°2.      Page 24 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;900,0;aide en numéraire;fonctionnement;unique;2021-10-26;;False;1,0;;3303
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE ET CULTURELLE FRANCOISE HERITIER;;;50-Personnes morales de droits privé autres qu'organismes sociaux;7° TSCO ASS SPORTIVE ET CULTURELLE  FRANCOISE HERITIER.   Projet : Danse LADC.     Page 24 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;1500,0;aide en numéraire;fonctionnement;unique;2021-10-26;;False;1,0;;3304
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE ET CULTURELLE FRANCOISE HERITIER;;;50-Personnes morales de droits privé autres qu'organismes sociaux;7° TSCO ASS SPORTIVE ET CULTURELLE  FRANCOISE HERITIER.   Projet : Musée confluence.      Page 24 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;100,0;aide en numéraire;fonctionnement;unique;2021-10-26;;False;1,0;;3305
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE ET CULTURELLE FRANCOISE HERITIER;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV CREDITS LIBRES E727 EE FR.HERITIER;2134,4;aide en numéraire;fonctionnement;unique;2021-04-23;;False;1,0;;3306
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE ET CULTURELLE FRANCOISE HERITIER;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E727 EE FRANCOISE HERITIER;2778,0;aide en numéraire;fonctionnement;unique;2021-04-23;;False;1,0;;3307
Commune de Lyon;21690123100011;2021;;;ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. CREDITS LIBRES E822 EE J. MERMOZ;975,2;aide en numéraire;fonctionnement;unique;2021-04-24;;False;1,0;;3330
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE SCOLAIRE JULES VERNE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;3° TSCO ASS SPORTIVE SCOLAIRE JULES VERNE.   Projet : Jules Vernes s¿écrit en vert.   Page 11 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021;1700,0;aide en numéraire;fonctionnement;unique;2021-10-23;;False;1,0;;3308
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE SCOLAIRE JULES VERNE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV CREDITS LIBRE E315 ELEM J.VERNE;1352,4;aide en numéraire;fonctionnement;unique;2021-04-22;;False;1,0;;3309
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE SCOLAIRE JULES VERNE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. ASSURANCE E315 EE JULE VERNE;377,74;aide en numéraire;fonctionnement;unique;2021-06-23;;False;1,0;;3310
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE SCOLAIRE JULES VERNE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E315 ELEMENTAIRE JULES VERNE;2058,0;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3311
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE SCOLAIRE TISSOT;;;50-Personnes morales de droits privé autres qu'organismes sociaux;9° TSCO ASS SPORTIVE SCOLAIRE TISSOT (ELEMENTAIRE AUDREY HEPBURN).   Projet : Cirque REP.   Page 26 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;400,0;aide en numéraire;fonctionnement;unique;2021-10-28;;False;1,0;;3312
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE SCOLAIRE TISSOT;;;50-Personnes morales de droits privé autres qu'organismes sociaux;9° TSCO ASS SPORTIVE SCOLAIRE TISSOT (ELEMENTAIRE AUDREY HEPBURN).   Projet : Un poulailler pour une co-éducation au développement durable.   Page 16 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021;752,0;aide en numéraire;fonctionnement;unique;2021-10-28;;False;1,0;;3313
Commune de Lyon;21690123100011;2021;;2020/428;ASS SPORTIVE SCOLAIRE TISSOT;;;50-Personnes morales de droits privé autres qu'organismes sociaux;9° TSCO ELEMENTAIRE AUDREY HEPBURN.   Projet: Classe neige.   Page 4, Délib n°2020/428 du 17/12/2020.;8400,0;aide en numéraire;fonctionnement;unique;2021-01-21;;False;1,0;;3314
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE SCOLAIRE TISSOT;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. CREDITS LIBRES E903 EE A. HEPBURN;1306,4;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3315
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE SCOLAIRE TISSOT;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E903 EE AUDREY HEPBURN;2556,0;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3316
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE SCOLAIRE TISSOT;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV.ASSURANCE E903 EE A.HEPBURN;412,63;aide en numéraire;fonctionnement;unique;2021-06-19;;False;1,0;;3317
Commune de Lyon;21690123100011;2021;;;ASSOCIATION SPORTIVE ANTOINE CHARIAL;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV CREDITS LIBRES E309 ELEM A.CHARIAL;1821,6;aide en numéraire;fonctionnement;unique;2021-04-22;;False;1,0;;3318
Commune de Lyon;21690123100011;2021;;;ASSOCIATION SPORTIVE ANTOINE CHARIAL;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. ASSURANCE E309 EE ANTOINE CHARIAL;594,0;aide en numéraire;fonctionnement;unique;2021-06-23;;False;1,0;;3319
Commune de Lyon;21690123100011;2021;;;ASSOCIATION SPORTIVE ANTOINE CHARIAL;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E309 ELEM ANTOINE CHARIAL;2772,0;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3320
Commune de Lyon;21690123100011;2021;;2021/1041;ASSOCIATION SPORTIVE SCOLAIRE FOUGERES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;9° TSCO ASSOCIATION SPORTIVE SCOLAIRE  LES FOUGERES (ELEMENTAIRE LES FOUGERES).   Projet : Chemin de Lecture.    Page 27 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;80,0;aide en numéraire;fonctionnement;unique;2021-10-28;;False;1,0;;3321
Commune de Lyon;21690123100011;2021;;2021/1041;ASSOCIATION SPORTIVE SCOLAIRE FOUGERES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;9° TSCO ASSOCIATION SPORTIVE SCOLAIRE  LES FOUGERES (ELEMENTAIRE LES FOUGERES).   Projet : Ecole et cinéma.    Page 27 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;330,0;aide en numéraire;fonctionnement;unique;2021-10-28;;False;1,0;;3322
Commune de Lyon;21690123100011;2021;;2021/1041;ASSOCIATION SPORTIVE SCOLAIRE FOUGERES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;9° TSCO ASSOCIATION SPORTIVE SCOLAIRE  LES FOUGERES (ELEMENTAIRE LES FOUGERES).   Projet : Théâtre.    Page 27 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;390,0;aide en numéraire;fonctionnement;unique;2021-10-28;;False;1,0;;3323
Commune de Lyon;21690123100011;2021;;;ASSOCIATION SPORTIVE SCOLAIRE FOUGERES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. CREDITS LIBRES E921 EE FOUGERES;524,4;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3324
Commune de Lyon;21690123100011;2021;;;ASSOCIATION SPORTIVE SCOLAIRE FOUGERES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E921 EE LES FOUGERES;1026,0;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3325
Commune de Lyon;21690123100011;2021;;;ASSOCIATION SPORTIVE SCOLAIRE FOUGERES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV.ASSURANCE E921 EE LES FOUGERES;154,09;aide en numéraire;fonctionnement;unique;2021-06-19;;False;1,0;;3326
Commune de Lyon;21690123100011;2021;;2021/1041;ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;8° TSCO ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ.   Projet : Cour toujours.   Page 25 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;500,0;aide en numéraire;fonctionnement;unique;2021-11-19;;False;1,0;;3327
Commune de Lyon;21690123100011;2021;;2021/1041;ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;8° TSCO ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ.   Projet : Programmation numérique: année 2.    Page 20 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;6500,0;aide en numéraire;fonctionnement;unique;2021-11-19;;False;1,0;;3328
Commune de Lyon;21690123100011;2021;;2021/1041;ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;8° TSCO ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ.   Projet : Tous en scène.   Page 25 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;900,0;aide en numéraire;fonctionnement;unique;2021-11-19;;False;1,0;;3329
Commune de Lyon;21690123100011;2021;;;ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E822 EE J. MERMOZ;1908,0;aide en numéraire;fonctionnement;unique;2021-04-24;;False;1,0;;3331
Commune de Lyon;21690123100011;2021;;;ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV.ASSURANCE E822 EE J.MERMOZ;276,3;aide en numéraire;fonctionnement;unique;2021-06-18;;False;1,0;;3332
Commune de Lyon;21690123100011;2021;;2021/1041;ASSOCIATION VEIL FRATERNITE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;8° TSCO ASSOCIATION VEIL FRATERNITE (ELEMENTAIRE SIMONE VEIL).   Projet : Les 4 saisons à l'école.    Page 15 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;2200,0;aide en numéraire;fonctionnement;unique;2021-11-18;;False;1,0;;3333
Commune de Lyon;21690123100011;2021;;2020/428;ASSOCIATION VEIL FRATERNITE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;8° TSCO GROUPE SCOLAIRE SIMONE VEIL.   Projet: De la nature sous le Bitume.   Page 4, Délib n°2020/428 du 17/12/2020.;8000,0;aide en numéraire;fonctionnement;unique;2021-01-21;;False;1,0;;3334
Commune de Lyon;21690123100011;2021;;;ASSOCIATION VEIL FRATERNITE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. CREDITS LIBRES E837 EE S. VEIL;1651,4;aide en numéraire;fonctionnement;unique;2021-04-24;;False;1,0;;3335
Commune de Lyon;21690123100011;2021;;;ASSOCIATION VEIL FRATERNITE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E837 EE S. VEILL;2155,0;aide en numéraire;fonctionnement;unique;2021-04-24;;False;1,0;;3336
Commune de Lyon;21690123100011;2021;;;ASSOCIATION VEIL FRATERNITE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV.ASSURANCE E837 EE S.VEIL;438,96;aide en numéraire;fonctionnement;unique;2021-06-18;;False;1,0;;3337
Commune de Lyon;21690123100011;2021;;;CLUB SPORTIF GENERAL ANDRE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. CREDITS LIBRES E820 EE J. MACE;1421,4;aide en numéraire;fonctionnement;unique;2021-04-24;;False;1,0;;3338
Commune de Lyon;21690123100011;2021;;;CLUB SPORTIF GENERAL ANDRE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E820 EE J. MACE;2781,0;aide en numéraire;fonctionnement;unique;2021-04-24;;False;1,0;;3339
Commune de Lyon;21690123100011;2021;;;CLUB SPORTIF GENERAL ANDRE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV.ASSURANCE E820 EE J.MACE;407,61;aide en numéraire;fonctionnement;unique;2021-06-18;;False;1,0;;3340
Commune de Lyon;21690123100011;2021;;2021/1041;COOPERATIVE ECOLE JEAN ROSTAND;;;25-Caisse des écoles;6° TSCO COOP ELEMENTAIRE JEAN ROSTAND.   Projet : Théâtre d'improvisation.        Page 23 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;1500,0;aide en numéraire;fonctionnement;unique;2021-10-26;;False;1,0;;3341
Commune de Lyon;21690123100011;2021;;2020/428;COOPERATIVE ECOLE JEAN ROSTAND;;;25-Caisse des écoles;6° TSCO ELEMENTAIRE JEAN ROSTAND.   Projet: Protection des milieux naturels, sensibilisation et éducation à l'environnement et au développement durable.   Page 4, Délib n°2020/428 du 17/12/2020.;3000,0;aide en numéraire;fonctionnement;unique;2021-01-21;;False;1,0;;3342
Commune de Lyon;21690123100011;2021;;;COOPERATIVE ECOLE JEAN ROSTAND;;;25-Caisse des écoles;SUBV.ASSURANCE E604 EE JEAN ROSTAND;476,48;aide en numéraire;fonctionnement;unique;2021-06-18;;False;1,0;;3343
Commune de Lyon;21690123100011;2021;;;COOPERATIVE ECOLE JEAN ROSTAND;;;25-Caisse des écoles;SUBV.CREDITS LIBRES E604 EE J ROSTAND;1623,8;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3344
Commune de Lyon;21690123100011;2021;;;COOPERATIVE ECOLE JEAN ROSTAND;;;25-Caisse des écoles;SUBV.INCE E604 EE JEAN ROSTAND;2471,0;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3345
Commune de Lyon;21690123100011;2021;;;CRECHE SAINT BERNARD - MELBA EF;;;;;10070,0;aide en nature;fonctionnement;;;;;;;3346
Commune de Lyon;21690123100011;2021;;;CRECHE SAINT BERNARD - MELBA MYRTILLES HG;;;;;15105,0;aide en nature;fonctionnement;;;;;;;3347
Commune de Lyon;21690123100011;2021;;2021/968;DISPENSAIRE VETERINAIRE ETUDIANT DE LYON;;;50-Personnes morales de droits privé autres qu'organismes sociaux;Dispensaire Vétérinaire Etudiant - fonctionnement 2021;1500,0;aide en numéraire;fonctionnement;unique;2021-09-10;;False;1,0;;3348
Commune de Lyon;21690123100011;2021;;2021/1041;ECOLE PRIM JULIE VICTOIRE DAUBIE OCCE;;;25-Caisse des écoles;7° TSCO GROUPE SCOLAIRE JULIE-VICTOIRE DAUBIE OCCE.   Projet : Quand les Gônes rencontrent l'art urbain.       Page 24 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;900,0;aide en numéraire;fonctionnement;unique;2021-10-26;;False;1,0;;3349
Commune de Lyon;21690123100011;2021;;2021/1041;ECOLE PRIM JULIE VICTOIRE DAUBIE OCCE;;;25-Caisse des écoles;7° TSCO GROUPE SCOLAIRE JULIE-VICTOIRE DAUBIE OCCE.   Projet : Voyages en Mathémagie.        Page 24 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;1300,0;aide en numéraire;fonctionnement;unique;2021-10-26;;False;1,0;;3350
Commune de Lyon;21690123100011;2021;;;ECOLE PRIM JULIE VICTOIRE DAUBIE OCCE;;;25-Caisse des écoles;SUBV. CREDITS LIBRES E725 EE J.V DAUBIE;1789,4;aide en numéraire;fonctionnement;unique;2021-04-23;;False;1,0;;3351
Commune de Lyon;21690123100011;2021;;;ECOLE PRIM JULIE VICTOIRE DAUBIE OCCE;;;25-Caisse des écoles;SUBV. INCE E725 EE J.V DAUBIE;2517,0;aide en numéraire;fonctionnement;unique;2021-04-23;;False;1,0;;3352
Commune de Lyon;21690123100011;2021;;;ECOLE PRIM JULIE VICTOIRE DAUBIE OCCE;;;25-Caisse des écoles;SUBV.ASSURANCE E725 EE JV.DAUBIE;507,72;aide en numéraire;fonctionnement;unique;2021-06-19;;False;1,0;;3353
Commune de Lyon;21690123100011;2021;;2021/1041;ECOLE PRIMAIRE A CESAIRE COOP;;;50-Personnes morales de droits privé autres qu'organismes sociaux;3° TSCO ECOLE PRIMAIRE AIME CESAIRE COOP.      Projet : Co éducation.     Page 22 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;2500,0;aide en numéraire;fonctionnement;unique;2021-10-23;;False;1,0;;3354
Commune de Lyon;21690123100011;2021;;2020/428;ECOLE PRIMAIRE A CESAIRE COOP;;;50-Personnes morales de droits privé autres qu'organismes sociaux;3° TSCO GROUPE SCOLAIRE AIME CESAIRE.   Projet: Classe transplantée.   Page 3, Délib n°2020/428 du 17/12/2020.;4400,0;aide en numéraire;fonctionnement;unique;2021-01-21;;False;1,0;;3355
Commune de Lyon;21690123100011;2021;;;ECOLE PRIMAIRE A CESAIRE COOP;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV CREDIT LIBRE E330 ELEM A.CESAIRE;1527,2;aide en numéraire;fonctionnement;unique;2021-04-22;;False;1,0;;3356
Commune de Lyon;21690123100011;2021;;;ECOLE PRIMAIRE A CESAIRE COOP;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. ASSURANCE E330 EE AIME CESAIRE;447,93;aide en numéraire;fonctionnement;unique;2021-06-23;;False;1,0;;3357
Commune de Lyon;21690123100011;2021;;;ECOLE PRIMAIRE A CESAIRE COOP;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E330 ELEMENTAIRE AIME CESAIRE;2038,0;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3358
Commune de Lyon;21690123100011;2021;;2021/1041;ECOLE PRIMAIRE DIDEROT OCCE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;5° TSCO ECOLE PRIMAIRE DIDEROT OCCE.   Projet : Une mare dans l'école.    Page 13 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;1500,0;aide en numéraire;fonctionnement;unique;2021-10-26;;False;1,0;;3359
Commune de Lyon;21690123100011;2021;;;ECOLE PRIMAIRE DIDEROT OCCE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. ASSURANCE E522 EE DIDEROT;396,0;aide en numéraire;fonctionnement;unique;2021-06-22;;False;1,0;;3360
Commune de Lyon;21690123100011;2021;;;ECOLE PRIMAIRE DIDEROT OCCE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV.CREDITS LIBRES E522 EE DIDEROT;1214,4;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3361
Commune de Lyon;21690123100011;2021;;;ECOLE PRIMAIRE DIDEROT OCCE;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV.INCE E522 EE DIDEROT;1848,0;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3362
Commune de Lyon;21690123100011;2021;;2021/1041;ECOLE TABLES CLAUDIENNES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;1° TSCO ECOLE TABLES CLAUDIENNES.     Projet : Les mots ont du rythme.    Page 21 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;1400,0;aide en numéraire;fonctionnement;unique;2021-10-23;;False;1,0;;3363
Commune de Lyon;21690123100011;2021;;2020/428;ECOLE TABLES CLAUDIENNES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;1° TSCO GROUPE SCOLAIRE TABLES CLAUDIENNES.   Projet: Arts et nature.   Page 3, Délib n°2020/428 du 17/12/2020;4400,0;aide en numéraire;fonctionnement;unique;2021-01-21;;False;1,0;;3364
Commune de Lyon;21690123100011;2021;;;ECOLE TABLES CLAUDIENNES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. ASSURANCE E105 EE TABLES CLAUDIENN;361,5;aide en numéraire;fonctionnement;unique;2021-06-19;;False;1,0;;3365
Commune de Lyon;21690123100011;2021;;;ECOLE TABLES CLAUDIENNES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. CREDITS LIBRES E105  T.CLAUDIENNES;1108,6;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3366
Commune de Lyon;21690123100011;2021;;;ECOLE TABLES CLAUDIENNES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E105 ELEM TABLES.CLAUDIENNES;1507,0;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3367
Commune de Lyon;21690123100011;2021;;2021/946;INTERCEPTIONS LYRIQUES;;;50-Personnes morales de droits privé autres qu'organismes sociaux;TLMD_INTERCEPTIONS LYRIQUES_LA VIE SELON JACQUES OFFENBACH;4900,0;aide en numéraire;fonctionnement;unique;2021-07-30;;False;1,0;;3368
Commune de Lyon;21690123100011;2021;;;LA FRIPONNERIE - AU DIAPASON;;;;;59519,0;aide en nature;fonctionnement;;;;;;;3369
Commune de Lyon;21690123100011;2021;;;LA FRIPONNERIE - PAIN D'EPICES;;;;;73067,0;aide en nature;fonctionnement;;;;;;;3370
