nomattribuant;idattribuant;annee;dateconvention;referencedecision;nombeneficiaire;idbeneficiaire;rnabeneficiaire;objet;montant;nature;conditionsversement;datesperiodeversement;idrae;notificationue;pourcentagesubvention;dispositifaide;gid
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES JARDINS DE VILLEURBANNES;;;ECO2-VILLEURBANNE-55-71-BVD E.REGUILLON - AIDE EV0692661600002T-ACB-;457800,0;aide en numéraire;unique;2021-02-24;;False;1,0;;9994
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES OCEANIDES;;;ECO2-LYON7-RUE H.MALOT/ RACLET - AIDE EV0693871600073T-ACB-;39452,8;aide en numéraire;unique;2021-06-08;;False;1,0;;9995
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES ROBERDIERES;;;ECO2-CHASSIEU - 15-17 CHEMIN DE LA GRANGE-AIDEEV0692711700002T-ACB-;39599,2;aide en numéraire;unique;2021-11-22;;False;1,0;;9996
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES TERRRASSES;;;SUB-ECORENOV15-17 RUE JULES ROMAIN-MEYZIEU-AIDE EV0692821700006T-ACB-;44000,0;aide en numéraire;unique;2021-06-24;;False;1,0;;9997
Métropole de Lyon (Budget principal);20004697700019;2021;;;OMS  ORGANISATION MONDIALE DE LA SANTE;;;Soutien au Bureau de Lyon 2021 - 1er acompte  - subvention 2021 - 80% - dossier 2021-4094;200000,0;aide en numéraire;unique;2021-12-02;;False;1,0;;9998
Métropole de Lyon (Budget principal);20004697700019;2021;;;OMS  ORGANISATION MONDIALE DE LA SANTE;;;convention OMS  - solde - subvention 2020 - 20% - dossier 2020-3673;50000,0;aide en numéraire;unique;2021-07-06;;False;1,0;;9999
Métropole de Lyon (Budget principal);20004697700019;2021;;;OUADADA BENIN;;;6èmes festival "Eclosions urba - 1er acompte subvention 2021 80% - 2021-01276;24000,0;aide en numéraire;unique;2021-06-08;;False;1,0;;10000
Métropole de Lyon (Budget principal);20004697700019;2021;;;OUADADA BENIN;;;6èmes festival "Eclosions urba - Solde - subvention 2021 - 20% - dossier 2021-1276;6000,0;aide en numéraire;unique;2021-12-02;;False;1,0;;10001
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC  HAUTS DU GOLF;;;ECO2-OULLINS-1-23 RUE SALVADOR ALLENDE AIDE 0691491500002T-ACB-;275739,0;aide en numéraire;unique;2021-07-23;;False;1,0;;10002
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC 22 QUAI PERRACHE;;;ECO2-LY0N2-22 QUAI PERRACHE-AIDE EV0693821800075T-ACB-;45300,0;aide en numéraire;unique;2021-07-23;;False;1,0;;10003
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC 23/25/27 R ST GERVAIS;;;ECO2-LYON 8-23à27 RUE ST GERVAIS-EV 0693881600097T-ACB-;102900,0;aide en numéraire;unique;2021-12-14;;False;1,0;;10004
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC 32A50 CHEMIN DES FONTS;;;ECO2-ST FOY LES LYON-32 50 CH DES FOND-MYOSOTIS-EV0692021800002T-ACB-;198800,0;aide en numéraire;unique;2021-06-07;;False;1,0;;10005
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC 60 COURS SUCHET;;;ECORENOV ECOCITE 60 COURS SUCHET LYON02-ACB-;82183,19;aide en numéraire;unique;2021-03-10;;False;1,0;;10006
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC 60 COURS SUCHET;;;ECORENOV ECOCITE COURS SUCHET - LYON 02-ACB;32200,0;aide en numéraire;unique;2021-03-10;;False;1,0;;10007
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC CHATEAU GAILLARD;;;ECOCITE VILLEURBANNE -17-25 RUE CHATEAU GAILLARD-DAS EV0692661500002T-acb-;195271,0;aide en numéraire;unique;2021-09-29;;False;1,0;;10008
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC CHATEAU GAILLARD;;;ECORENOV-17-25-CHATEAU GAILLARD VILLEURBANNE-ACB-;98000,0;aide en numéraire;unique;2021-09-29;;False;1,0;;10009
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC GRANDES TERRES;;;ECO2-VENISSSIEUX-2 à 22 AV M.CACHIN - AIDE 010-2016-ACB-;348600,0;aide en numéraire;unique;2021-04-15;;False;1,0;;10010
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC LA PINEDE;;;ECO2-LYON5-83-93 RUE JOLIOT CURIE-AIDE 0693851600015T-ACB-;166600,0;aide en numéraire;unique;2021-11-25;;False;1,0;;10011
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC LE CHENE VERT;;;ECO2-LYON5-RUE AQUEDUCS+ RUE BOYER AIDE EV0693851500028-ACB-;214200,0;aide en numéraire;unique;2021-12-06;;False;1,0;;10012
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC LE RAFOUR;;;ECO2-BRON-45-47-MARECHAL TASSIGNY-DAS EV690291800002T-ACB-;76800,0;aide en numéraire;unique;2021-11-25;;False;1,0;;10013
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC LE VERT GALANT;;;ECO2--166-170 R.SALENGRO - VILLEURBANNE-AIDE EV0692661600010T-acb-;106400,0;aide en numéraire;unique;2021-01-19;;False;1,0;;10014
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC MONTELIER TRAVAUX;;;ECO2-VENISSIEUX-4-18 RUE DU MONTELIER-DAS 010-2018-ACB-;112000,0;aide en numéraire;unique;2021-07-20;;False;1,0;;10015
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC OASIS;;;ECO2-OULLINS-8-9-10 RUE DE L'OASIS-AIDE 0691490800001T-ACB-;100800,0;aide en numéraire;unique;2021-09-29;;False;1,0;;10016
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC PLEIN SUD;;;ECO 2 - BRON - 3 à 27 r Nungesser et Coli -BAT K DAS N°006-2015 BIS-ACB-;203000,0;aide en numéraire;unique;2021-07-26;;False;1,0;;10017
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC PLEIN SUD;;;ECO 2 - BRON - 5 à 25 rue Youri Gagarine - DAS N°004-2015-ACB-;175000,0;aide en numéraire;unique;2021-07-26;;False;1,0;;10018
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC RESIDENCE JEAN SORNAY;;;ECO2 - LYON3 - 76/84 R A CHARIAL - AIDE EV 3831400014T-ACB-;94400,0;aide en numéraire;unique;2021-01-19;;False;1,0;;10019
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC SAINTE BLANDINE;;;Convention 2017-Ecorénov Ecocité-COPRO MARC ANTOINE PETIT-ACB-;140507,2;aide en numéraire;unique;2021-09-16;;False;1,0;;10020
Métropole de Lyon (Budget principal);20004697700019;2021;;;SDC SAINTE BLANDINE;;;ECORENOV LY02-7 RUE MARC-ANTOINE PETIT MARC-ACB-;50400,0;aide en numéraire;unique;2021-09-10;;False;1,0;;10021
Métropole de Lyon (Budget principal);20004697700019;2021;;;SYND COP LE CONCORDE;;;ECO2-VENNISSIEUX-AV J.CAGNE,M.THOREZ,G.LYVET DAS 009-2018-ACB;295400,0;aide en numéraire;unique;2021-07-23;;False;1,0;;10022
Métropole de Lyon (Budget principal);20004697700019;2021;;;SYNDICAT DE COPROPRIETAIRES LES CELESTINS;;;ENERGIE-OULLINS-COPRO LES CELESTINS-CONVENTION FONDS CHALEUR-ACOMPTE 1-MD;96860,0;aide en numéraire;unique;2021-11-10;;False;1,0;;10023
Métropole de Lyon (Budget principal);20004697700019;2021;;;SYNDICAT DE COPROPRIETE LES ORMES 305;;;ECO2-VILLEURBANNE 174-176-178 DU 8 MAI 45-AIDE0692661800027T-ACB-;42572,0;aide en numéraire;unique;2021-09-29;;False;1,0;;10024
Métropole de Lyon (Budget principal);20004697700019;2021;;;SYNDICAT SIMON JALLADE;;;ECO2-ST FOY LES LYON-20-22-24 SIMON JALLADE-AIDE 0692020600001T-ACB-;94400,0;aide en numéraire;unique;2021-07-30;;False;1,0;;10025
Métropole de Lyon (Budget principal);20004697700019;2021;;;VIRAGES SANTE;;;SUBVENTION GRIFFON ACOMPTE 50%;25000,0;aide en numéraire;unique;2021-10-06;;False;1,0;;10026
Métropole de Lyon (Budget principal);20004697700019;2021;;;53 CHATEAU GAILLARD;038879201;;ECO-VILLEURBANNE-53 RUE CHATEAU GAILLARD-AIDE 0692661600032T-ACB-;80000,0;aide en numéraire;unique;2021-09-21;;False;1,0;;10027
Métropole de Lyon (Budget principal);20004697700019;2021;;;COPROPRIETE HORIZON;04009880800013;;ECO2-STE FOY LES LYON -2-RUE-DE-LONDRES - AIDE EV069202100008T-ACB-;89600,0;aide en numéraire;unique;2021-06-24;;False;1,0;;10028
Métropole de Lyon (Budget principal);20004697700019;2021;;;LA THULE;04010992800016;;ECO2-CALUIRE-133-146 AV JEAN MONNET-AIDE EV0690341900010T-ACB-;104400,0;aide en numéraire;unique;2021-09-23;;False;1,0;;10029
Métropole de Lyon (Budget principal);20004697700019;2021;;;COPROPRIETE LES GARENNES;04013651700014;;ECO2-ST PRIEST-BD DES ROSES-AIDE EV069290050001T-ACB-;333900,0;aide en numéraire;unique;2021-07-23;;False;1,0;;10030
Métropole de Lyon (Budget principal);20004697700019;2021;;;ERILIA;05881167000015;;2014 - VILLEURBANNE - 155 rue Alexis Perroncel - DAS n° 231 - SOLDE - LQ;50962,4;aide en numéraire;unique;2021-08-06;;False;1,0;;10031
Métropole de Lyon (Budget principal);20004697700019;2021;;;ERILIA;05881167000015;;2018 - DARDILLY - 18 route d'Ecully - DAS n° 152 - 1er acompte - LQ;64000,0;aide en numéraire;unique;2021-07-12;;False;1,0;;10032
Métropole de Lyon (Budget principal);20004697700019;2021;;;ERILIA;05881167000015;;2020 - DECINES - 11 Boulevard Franklin Roosevelt - DAS n° 138 - 1er acompte - LQ;46400,0;aide en numéraire;unique;2021-07-06;;False;1,0;;10033
Métropole de Lyon (Budget principal);20004697700019;2021;;;ERILIA;05881167000015;;2020 - TASSIN LA DEMI LUNE - 6 chemin de la Raude - DAS n° 183 - 1er acompte - LQ;73600,0;aide en numéraire;unique;2021-11-19;;False;1,0;;10034
Métropole de Lyon (Budget principal);20004697700019;2021;;;STE D AMENAGEMENT FONCIER ET D ETS RURAL RHONE ALP ES;06250036800063;;DEEE - SAFER FONCIER 2021 - SOLDE - GB;42325,57;aide en numéraire;unique;2021-12-31;;False;1,0;;10035
Métropole de Lyon (Budget annexe de l’assainissement);20004697700035;2021;;;LPO AUVERGNE RHONE ALPES;30112510000034;;DTEE PEDD 2021 - 1;378,0;aide en numéraire;unique;2021-09-01;;False;1,0;;10036
Métropole de Lyon (Budget principal);20004697700019;2021;;;LPO AUVERGNE RHONE ALPES;30112510000034;;PEDD 2021 - LPO - ACOMPTE N°1 - GB;13422,0;aide en numéraire;unique;2021-07-21;;False;1,0;;10037
Métropole de Lyon (Budget principal);20004697700019;2021;;;LPO AUVERGNE RHONE ALPES;30112510000034;;PEDD 2021 - LPO - SOLDE - GB;8948,0;aide en numéraire;unique;2021-12-31;;False;1,0;;10038
Métropole de Lyon (Budget principal);20004697700019;2021;;;LPO AUVERGNE RHONE ALPES;30112510000034;;STPU-TRAME VERTE 2020-LPO AURA - SOLDE;10890,0;aide en numéraire;unique;2021-10-07;;False;1,0;;10039
Métropole de Lyon (Budget principal);20004697700019;2021;;;LPO AUVERGNE RHONE ALPES;30112510000034;;STPU-TRAME VERTE 2021-LPO AURA - ACOMPTE 1 AVANCE 60 % - CC;16129,2;aide en numéraire;unique;2021-04-09;;False;1,0;;10040
Métropole de Lyon (Budget principal);20004697700019;2021;;;LPO AUVERGNE RHONE ALPES;30112510000034;;TRAME VERTE 2021 - Acompte 60%;12375,0;aide en numéraire;unique;2021-04-13;;False;1,0;;10041
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;201805194 - It emploi renforcé - Solde subvention FSE 2019 montant proratisé - 2019-01710;13949,05;aide en numéraire;unique;2021-02-09;;False;1,0;;10042
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;202000114 - Avenant n°1 - Complément d'avance subvention FSE 2020 - 2020-02206;38080,63;aide en numéraire;unique;2021-07-23;;False;1,0;;10043
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;202101254 - MesuresCovid_SM - Avance subvention FSE 2021 70% - 2021-04265;29103,45;aide en numéraire;unique;2021-12-09;;False;1,0;;10044
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;ACOMPTE SUBVENTION PLAN PAUVRETE 2021 - FICHE ACTION 8 - ALYNEA;68250,0;aide en numéraire;unique;2021-12-14;;False;1,0;;10045
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;ACOMPTE SUBVENTION PLAN PAUVRETE 2021 - FICHE ACTION 8 - ALYNEA PASS'AGE;14000,0;aide en numéraire;unique;2021-12-14;;False;1,0;;10046
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;ALYNEA - Dvpt Inclusion Num - Complément d'avance subvention FSE 2020 - 2020-02209;22990,26;aide en numéraire;unique;2021-11-24;;False;1,0;;10047
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Actions Levée des freins - 1er acompte subvention 2021 70% - 2021-00016;12790,4;aide en numéraire;unique;2021-04-20;;False;1,0;;10048
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Actions Levée des freins - Solde subvention 2020 30% - 2020-00019;5481,6;aide en numéraire;unique;2021-03-10;;False;1,0;;10049
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;COVID19 - AIDE D'URGENCE ASSO - Solde ALYNEA;79200,0;aide en numéraire;unique;2021-12-15;;False;1,0;;10050
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;COVID19_AIDE D'URGENCE ASSO_ALYNEA_CP2020_326;316800,0;aide en numéraire;unique;2021-06-16;;False;1,0;;10051
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;FSL - SUBVENTION ASLL 2020 - Solde ALYNEA;16261,0;aide en numéraire;unique;2021-07-16;;False;1,0;;10052
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;FSL - SUBVENTION LDA 2020 - Solde ALYNEA;1600,0;aide en numéraire;unique;2021-07-16;;False;1,0;;10053
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;FSL 2021 - SUBVENTION ASLL - 1er acompte;81600,0;aide en numéraire;unique;2021-07-30;;False;1,0;;10054
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;FSL 2021 - SUBVENTION SDG - 1er acompte;33420,0;aide en numéraire;unique;2021-07-30;;False;1,0;;10055
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Itinéraires emploi diversifiés - 1er acompte subvention 2021 70% - 2021-00123;186550,0;aide en numéraire;unique;2021-04-21;;False;1,0;;10056
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Itinéraires emploi innovants - 1er acompte subvention 2021 70% - 2021-00173;157920,0;aide en numéraire;unique;2021-04-21;;False;1,0;;10057
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Itinéraires emploi innovants - 1er acompte subvention 2021 70% - 2021-00192;56000,0;aide en numéraire;unique;2021-04-21;;False;1,0;;10058
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Itinéraires emploi innovants - Solde subvention 2020 30% - 2020-00179;54720,0;aide en numéraire;unique;2021-03-01;;False;1,0;;10059
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Itinéraires emploi renforcés - 1er acompte subvention 2021 70% - 2021-00124;14630,0;aide en numéraire;unique;2021-04-21;;False;1,0;;10060
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Itinéraires emplois diversifié - Solde subvention 2020 30% - 2020-00098;79950,0;aide en numéraire;unique;2021-03-01;;False;1,0;;10061
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Itinéraires emplois renforcés - Solde subvention 2020 30% - 2020-00099;6270,0;aide en numéraire;unique;2021-03-01;;False;1,0;;10062
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;LOGEMENT D'ABORD - Subv 2021 - 1er acompte;60000,0;aide en numéraire;unique;2021-07-30;;False;1,0;;10063
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;LOGEMENT D'ABORD - Subv 2021 - 1er acpte;48000,0;aide en numéraire;unique;2021-07-30;;False;1,0;;10064
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;Levée des freins - Solde subvention 2020 - 2020-03665;33662,0;aide en numéraire;unique;2021-12-31;;False;1,0;;10065
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;PLAN PAUVERETE_Equipe mobile - solde ALYNEA;29250,0;aide en numéraire;unique;2021-02-11;;False;1,0;;10066
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;PLAN-PAUVRETE-Solde PASS'AGES - ALYNEA;12000,0;aide en numéraire;unique;2021-02-11;;False;1,0;;10067
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;RSJ Accompagnement - CM 07/21 - 1er acompte subvention 2021 70% - 2021-03681;52462,9;aide en numéraire;unique;2021-08-18;;False;1,0;;10068
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;RSJ Accompagnement - CM 07/21 - 1er acompte subvention 2021 70% - 2021-03682;42000,0;aide en numéraire;unique;2021-08-18;;False;1,0;;10069
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;STPU-écono-circu 2019 ALYNEA - Fonctionnement  - solde;3000,0;aide en numéraire;unique;2021-06-30;;False;1,0;;10070
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;STPU-écono-circu 2019 ALYNEA investissement - SOLDE;6000,0;aide en numéraire;unique;2021-06-30;;False;1,0;;10071
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;SUB SOLDE PLAN PAUVRETE 2020 - ALYNEA EQUIPE MOBILE;29250,0;aide en numéraire;unique;2021-07-05;;False;1,0;;10072
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;SUBV 2021 - Métro Hospitalité - 1er acpte;160000,0;aide en numéraire;unique;2021-12-15;;False;1,0;;10073
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;SUBV 2021 - PRIMAT VILLEURBANN - 1er acpte;120000,0;aide en numéraire;unique;2021-08-24;;False;1,0;;10074
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;UIA AUTRE SOIE SUBVENTION 2021 - 2acompte;10004,04;aide en numéraire;unique;2021-11-26;;False;1,0;;10075
Métropole de Lyon (Budget principal);20004697700019;2021;;;ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT;30136563100037;;UIA AUTRE SOIE SUBVENTION 2021 - 2eme ac;173220,08;aide en numéraire;unique;2021-11-26;;False;1,0;;10076
Métropole de Lyon (Budget principal);20004697700019;2021;;;OFTA SERVICE AIDE A DOMICILE;30179117400024;;CFI 2021 SPASAD OFTA ACT MULAT - 1;51651,0;aide en numéraire;unique;2021-06-25;;False;1,0;;10077
Métropole de Lyon (Budget principal);20004697700019;2021;;;SOINS ET SANTE;30209561700064;;CFI 2021 SPASAD SOINS & SANTE - 1;51226,0;aide en numéraire;unique;2021-06-25;;False;1,0;;10078
Métropole de Lyon (Budget principal);20004697700019;2021;;;SOLIHA RHONE ET GRAND LYON;30247604900036;;FSL - SUBVENTION ASLL 2020 - Solde SOLIHA;6200,0;aide en numéraire;unique;2021-07-16;;False;1,0;;10079
Métropole de Lyon (Budget principal);20004697700019;2021;;;SOLIHA RHONE ET GRAND LYON;30247604900036;;FSL 2021 - SUBVENTION ASLL - 1er acompte;54560,0;aide en numéraire;unique;2021-07-16;;False;1,0;;10080
Métropole de Lyon (Budget principal);20004697700019;2021;;;SOLIHA RHONE ET GRAND LYON;30247604900036;;SUB PRECA ENERG 2020 - Solde SOLIHA;40000,0;aide en numéraire;unique;2021-02-04;;False;1,0;;10081
Métropole de Lyon (Budget principal);20004697700019;2021;;;SOLIHA RHONE ET GRAND LYON;30247604900036;;SUBV 2021 - ASSO PARC EXISTANT - 1er acompte;245000,0;aide en numéraire;unique;2021-06-11;;False;1,0;;10082
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES FOYERS MATTER;30256627800115;;LOGEMENT D'ABORD - Subv 2021 - 1er acpte;40000,0;aide en numéraire;unique;2021-09-10;;False;1,0;;10083
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES FOYERS MATTER;30256627800115;;RSJ Accompagnement - CM 07/21 - 1er acompte subvention 2021 70% - 2021-03700;31500,0;aide en numéraire;unique;2021-10-27;;False;1,0;;10084
